,0,1,2,3,4,5,6,7
41,0.09264385,0.079368755,0.081932984,0.0793867,0.15862042,0.14464699,0.1847895,0.17861082
42,0.08035222,0.08981651,0.07084036,0.2382327,0.12666923,0.115520634,0.12052034,0.158048
43,0.13536038,0.080875374,0.10369965,0.084353276,0.15474579,0.13272358,0.15222692,0.15601508
44,0.14049459,0.116745874,0.13740395,0.10950421,0.11943353,0.116752185,0.116467655,0.14319801
45,0.13772924,0.16551656,0.13004528,0.12910235,0.117005736,0.10710215,0.11368685,0.09981183
46,0.09567496,0.09927796,0.22013046,0.07792118,0.10578806,0.10137781,0.19222128,0.107608266
47,0.10874073,0.111937344,0.09792831,0.15612057,0.15083444,0.11681558,0.11184811,0.1457749
48,0.11999974,0.08105325,0.13191015,0.10346956,0.17207085,0.10415557,0.13643745,0.15090339
49,0.12617454,0.12668343,0.09122401,0.16499692,0.123842806,0.13233227,0.10126486,0.13348113
50,0.085594594,0.078491084,0.09757109,0.12852934,0.16346493,0.14752789,0.15458031,0.14424072
51,0.073176526,0.08655482,0.12232301,0.103507176,0.1696852,0.12784626,0.14724211,0.16966493
52,0.07646577,0.03938462,0.0712859,0.07963244,0.20008421,0.12047321,0.2137249,0.19894898
53,0.07744149,0.117702946,0.099099256,0.17014074,0.080934115,0.09262946,0.112874955,0.24917707
54,0.09208701,0.18854131,0.21070507,0.14797975,0.06259694,0.10910867,0.12825155,0.06072972
55,0.13591695,0.18016624,0.21188991,0.09426631,0.086689994,0.099755295,0.12381787,0.06749742
56,0.09026193,0.09449214,0.11067403,0.090412006,0.18012607,0.119994916,0.19857033,0.115468614
57,0.058262315,0.06907349,0.143762,0.117967665,0.10261201,0.1039375,0.21170017,0.19268481
58,0.102365874,0.1513172,0.067436434,0.15272762,0.109684385,0.15817139,0.08678286,0.17151421
59,0.09132907,0.13690394,0.105108455,0.090965115,0.09281878,0.13858601,0.17217721,0.17211142
60,0.08061535,0.09411355,0.08564428,0.14833637,0.15350713,0.17085586,0.13470641,0.13222103
61,0.070194416,0.12651044,0.13212597,0.114664,0.1634362,0.1378627,0.14016494,0.115041286
62,0.055770617,0.13171199,0.09670843,0.14711206,0.15248157,0.14122725,0.12647067,0.14851749
63,0.073336504,0.09337825,0.16641504,0.0952791,0.1045499,0.20854095,0.14169948,0.11680077
64,0.10468425,0.16740917,0.10005772,0.11849289,0.11431438,0.14557992,0.12727351,0.122188084
65,0.098957345,0.090271495,0.106483914,0.14604641,0.14786051,0.11187666,0.12554951,0.17295411
66,0.11085771,0.13187465,0.08110882,0.093894206,0.15307629,0.14346662,0.1407429,0.14497884
67,0.12735435,0.093929075,0.09828171,0.11831608,0.11818728,0.122990936,0.1573407,0.16359986
68,0.08110469,0.08077168,0.11333053,0.09519989,0.14531682,0.13374573,0.16154832,0.18898243
