,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
sensitivity,0.7016,0.75266,0.7307,0.70108,0.73784,0.78176,0.74526,0.7238,0.7008,0.73044,0.71562,0.7233,0.7375800000000001,0.7450000000000001,0.7524
specificity,0.83126,0.8625,0.8375199999999999,0.83748,0.88124,0.8750199999999999,0.9,0.90624,0.83126,0.8749800000000001,0.83748,0.8375,0.85624,0.8625,0.8687400000000001
ppv,0.7796399999999999,0.82456,0.79468,0.7903399999999999,0.8443400000000001,0.84742,0.8638199999999999,0.87328,0.7874599999999999,0.83596,0.7940000000000002,0.79586,0.8221399999999999,0.83178,0.8411799999999999
npv,0.76776,0.8036999999999999,0.78484,0.7661200000000001,0.79814,0.82284,0.8073,0.79478,0.7668600000000001,0.79412,0.77492,0.77986,0.79244,0.7975800000000001,0.8035399999999999
gmean_sens_spec,0.76252,0.80526,0.7817399999999999,0.7653,0.8054400000000002,0.8266399999999999,0.81792,0.808,0.76048,0.79752,0.77308,0.7772399999999999,0.7929599999999999,0.80002,0.80658
gmean_all_metrics,0.76796,0.80956,0.7856400000000001,0.77154,0.8129799999999999,0.8306799999999999,0.8263400000000001,0.82012,0.76834,0.8058,0.7785799999999999,0.78232,0.7996800000000001,0.8068199999999999,0.8139
roc_auc,0.87076,0.8780199999999999,0.8764000000000001,0.8714600000000001,0.8928200000000001,0.9012399999999999,0.8971199999999999,0.90724,0.86884,0.89096,0.77654,0.8712799999999999,0.87332,0.8726200000000001,0.89018
accuracy,0.77142,0.81182,0.7882,0.77472,0.8152200000000001,0.83208,0.8286,0.8220000000000001,0.77118,0.8083600000000001,0.78142,0.78492,0.8016400000000001,0.8083600000000001,0.81516
sensitivity,0.78888,0.74498,0.75898,0.73068,0.7531800000000001,0.7381,0.7749,0.71614,0.77436,0.7746000000000001,0.74524,0.7815000000000001,0.7672000000000001,0.77488,0.7603199999999999
specificity,0.825,0.8375,0.82498,0.8,0.86876,0.8625,0.875,0.84376,0.78124,0.85,0.775,0.825,0.84374,0.8375,0.8375
ppv,0.8038599999999999,0.8102,0.79396,0.7612800000000001,0.8350799999999999,0.8254400000000001,0.8424799999999999,0.80724,0.762,0.8220000000000001,0.7433,0.7997,0.8131,0.8057399999999999,0.80244
npv,0.81698,0.7909200000000001,0.80092,0.7744800000000001,0.8042,0.79352,0.81918,0.77466,0.79926,0.8124400000000002,0.77904,0.81386,0.80846,0.8123000000000001,0.8024000000000001
gmean_sens_spec,0.8059999999999998,0.78854,0.7900400000000001,0.76448,0.8078199999999999,0.79714,0.8232200000000001,0.7765000000000001,0.7765199999999999,0.81118,0.7594799999999999,0.80212,0.80386,0.80532,0.7978200000000001
gmean_all_metrics,0.80794,0.794,0.79342,0.76608,0.8134399999999999,0.8030000000000002,0.82692,0.7832,0.7781,0.81404,0.7601,0.8041600000000001,0.80708,0.8070599999999999,0.8000400000000001
roc_auc,0.85886,0.8545400000000001,0.86984,0.8432400000000001,0.8904800000000002,0.87928,0.8818000000000001,0.8738800000000001,0.85458,0.8827999999999999,0.7601199999999999,0.86212,0.8657199999999999,0.86972,0.8844200000000001
accuracy,0.8086599999999999,0.79514,0.7948599999999999,0.76814,0.8154199999999999,0.8051600000000001,0.8287599999999999,0.7851000000000001,0.77832,0.8154,0.76144,0.8050799999999999,0.80854,0.80862,0.80188
sensitivity,0.76666,0.77432,0.70792,0.76692,0.75212,0.74496,0.73782,0.71612,0.7587200000000001,0.7592399999999999,0.75952,0.76722,0.73756,0.7595400000000001,0.7595
specificity,0.8499800000000001,0.825,0.84376,0.83126,0.88124,0.88124,0.91252,0.88124,0.83748,0.8687799999999999,0.83126,0.85,0.86876,0.86248,0.8750199999999999
ppv,0.8166800000000001,0.80048,0.8036,0.8000999999999999,0.84964,0.8462799999999999,0.87768,0.8463,0.8068200000000001,0.84246,0.8003199999999999,0.81666,0.8404399999999999,0.8291600000000001,0.84358
